"loc10_typ_b","nodes"
"641","B42213",9
"642","B42213",9
"643","B42213",9
"644","B42213",9
"645","B42213",9
"646","B42213",9
"647","B42213",9
"648","B42213",9
"649","B42213",9
"650","B42213",9
"651","B42213",9
"652","B42213",9
"653","B411",7
"654","B411",7
"655","B41",7
"656","B419",7
"657","B4212",7
"658","B41",7
"659","B419",7
"660","B4212",7
"661","B4211",7
"662","B413",7
"663","B47",9
"664","B47",9
"665","B41",7
"666","B43",9
"667","B42119",9
"668","B4211",7
"669","B421",7
"670","B41234",9
"671","B4211",9
"672","B4211",9
"673","B4211",9
"674","B4212",9
"675","B4221",9
"676","B43",9
"677","B4211",9
"678","B4219",7
"679","B411",3
"680","B4111",3
"681","B412",3
"682","B411",3
"683","B4211",9
"684","B43",9
"685","B41299",8
"686","B45",8
"687","B42112",7
"688","B42112",7
"689","B42213",8
"690","B41",2
"691","B42",2
"692","B41",2
"693","B42",2
"694","B49",2
"695","B42",2
"696","B41",2
"697","B4221",9
"698","B4211",9
"699","B413",9
"700","B411",9
"701","B47",9
"702","B421",9
"703","B411",9
"704","B4211",9
"705","B4211",9
"706","B43",9
"707","B4211",9
"708","B43",9
"709","B4221",9
"710","B49",9
"711","B43",9
"712","B49",9
"713","B42111",8
"714","B42112",9
"715","B42112",9
"716","B4211",9
"717","B42112",9
"718","B4211",9
"719","B4211",9
"720","B4211",9
"721","B4211",9
"722","B42112",9
"723","B43",9
"724","B42213",9
"725","B43",9
"726","B43",9
"727","B43",9
"728","B49",9
"729","B49",7
"730","B43",7
"731","B4211",7
"732","B4113",7
"733","B4211",10
"734","B43",9
"735","B49",9
"736","B43",9
"737","B49",9
"738","B4221",9
"739","B421",9
"740","B43",9
"741","B4211",9
"742","B4211",9
"743","B43",7
"744","B45",7
"745","B4",7
"746","B411",10
"747","B4211",10
"748","B42111",10
"749","B42111",10
"750","B43",10
"751","B4113",7
"752","B4113",7
"753","B42112",10
"754","B421",10
"755","B421",10
"756","B421",10
"757","B421",10
"758","B4211",11
"759","B421",9
"760","B421",9
"761","B4119",9
"762","B45",9
"763","B47",9
"764","B47",9
"765","B4211",9
"766","B413",9
"767","B4211",9
"768","B411",11
"769","B49",11
"770","B4211",9
"771","B43",9
"772","B43",11
"773","B421",9
"774","B41",9
"775","B49",9
"776","B422",9
"777","B47",9
"778","B4",10
"779","B4211",9
"780","B4211",3
"781","B43",3
"782","B43",9
"783","B45",3
"784","B43",9
"785","B43",9
"786","B4113",6
"787","B4212",9
"788","B4211",9
"789","B4211",9
"790","B43",9
"791","B4211",9
"792","B43",9
"793","B4211",9
"794","B43",9
"795","B4211",9
"796","B4",9
"797","B43",9
"798","B421",9
"799","B43",9
"800","B421",9
"801","B41",9
"802","B43",9
"803","B43",9
"804","B49",9
"805","B42112",10
"806","B42112",10
"807","B42112",10
"808","B43",9
"809","B43",9
"810","B49",9
"811","B4",9
"812","B49",9
"813","B4212",9
"814","B4211",9
"815","B421",9
"816","B49",9
"817","B49",9
"818","B49",9
"819","B43",9
"820","B42112",7
"821","B49",7
"822","B43",7
"823","B4211",10
"824","B43",9
"825","B411",9
"826","B4",9
"827","B4",9
"828","B411",9
"829","B4211",9
"830","B4211",9
"831","B411",9
"832","B43",9
"833","B411",9
"834","B4211",10
"835","B48",18
"836","B4211",10
"837","B43",10
"838","B42111",11
"839","B42113",11
"840","B43",11
"841","B43",11
"842","B4221",10
"843","B422131",10
"844","B422131",10
"845","B422131",10
"846","B422131",10
"847","B422131",10
"848","B422131",10
"849","B42212",10
"850","B42212",10
"851","B42212",10
"852","B42211",10
"853","B42211",10
"854","B42211",10
"855","B42211",10
"856","B42211",10
"857","B42211",10
"858","B42211",10
"859","B42211",10
"860","B42211",10
"861","B42211",10
"862","B422132",10
"863","B42212",10
"864","B42112",10
"865","B42112",10
"866","B43",18
"867","B411",10
"868","B411",10
"869","B42112",18
"870","B42112",18
"871","B42112",10
"872","B42112",10
"873","B43",9
"874","B411",9
"875","B42213",10
"876","B42213",10
"877","B43",18
"878","B413",11
"879","B4119",11
"880","B4221",10
"881","B4211",10
"882","B4211",10
"883","B43",11
"884","B45",10
"885","B4113",7
"886","B413",7
"887","B4113",7
"888","B4113",7
"889","B413",7
"890","B4113",7
"891","B4113",7
"892","B413",7
"893","B4113",7
"894","B413",7
"895","B411",7
"896","B411",7
"897","B411",7
"898","B42112",7
"899","B413",11
"900","B4121",11
"901","B411",11
"902","B419",11
"903","B413",11
"904","B411",11
"905","B419",11
"906","B419",11
"907","B42111",7
"908","B4221",11
"909","B4221",7
"910","B4221",7
"911","B413",7
"912","B42112",7
"913","B4212",7
"914","B4113",7
"915","B4111",11
"916","B413",11
"917","B41225",11
"918","B4113",7
"919","B419",7
"920","B42112",7
"921","B4113",7
"922","B4211",7
"923","B413",7
"924","B42112",7
"925","B4113",7
"926","B43",9
"927","B411",10
"928","B4211",7
"929","B4211",11
"930","B422111",10
"931","B42111",7
"932","B4113",7
"933","B413",7
