Fundstelle;Typ;Quelle;SpÃ¤tmesolithikum;FrÃ¼hneolithikum;Mittelneolithikum;Mittelneolithikum I;Mittelneolithikum II;Mittelneolithikum III/IV;Mittelneolithikum V;Jungneolithikum;SpÃ¤tneolithikum;Neolithikum;Rechts;Hoch
Oldenburg LA10;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4428791;6019927
Oldenburg LA26;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4426374;6016879
Oldenburg LA48;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4424178;6021930
Oldenburg LA59;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4428701;6019681
Oldenburg LA59;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4428676;6019662
Oldenburg LA73;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4423556;6019669
Oldenburg LA77;Siedlung;Mennenga 2011;0;0;1;0;0;1;0;0;0;0;4425365;6018679
Oldenburg LA101;Siedlung;Mennenga 2011;0;1;1;1;1;1;1;1;1;0;4426492;6018928
Oldenburg LA143;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4423818;6020759
Oldenburg LA185;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;1;0;4425139;6018073
Oldenburg LA191;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4425414;6018912
Oldenburg LA191;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4425410;6018940
Oldenburg LA192;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4425548;6018866
Oldenburg LA201;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4424840;6018351
Oldenburg LA206;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4428866;6017944
Oldenburg LA212;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;1;0;0;4426346;6016235
Oldenburg LA227;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4423680;6019431
Oldenburg LA255;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;0;0;4425600;6018400
Riepsdorf LA1;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4433095;6012070
Riepsdorf LA3;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4433332;6012230
Wangels LA6;Siedlung;Mennenga 2011;0;1;1;1;1;0;0;0;0;0;4423604;6019289
Wangels LA138;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;0;0;0;4421050;6019010
Wangels LA266;Siedlung;Mennenga 2011;0;0;0;0;0;0;0;0;1;0;4420032;6020149
Wangels LA267;Siedlung;Mennenga 2011;0;0;1;1;1;1;1;1;1;0;4424083;6018941
Wangels LA502;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4422620;6019331
Wangels LA505;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4423649;6019370
Wangels LA505;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4423649;6019370
Wangels LA505;Siedlung;Mennenga 2011;1;1;0;0;0;0;0;0;0;0;4423974;6019202
Altenkrempe LA51;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4423425;6003776
Altenkrempe LA53;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4423170;6004264
Dahme LA14;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4428172;6009429
Dahme LA47;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4438720;6012040
Dahme LA51;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4439878;6008273
Dahme LA59;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4439646;6008930
Dahme LA61;Siedlung;Karnatz 1987;0;0;1;1;1;1;1;0;0;0;4439219;6009415
Damlos LA49;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4427962;6014764
Damlos LA80;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4427748;6013615
Grömitz LA10;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4429303;6004298
Grömitz LA12;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4429696;6003827
Gröm.-Cismar LA35;Siedlung;Karnatz 1987;1;0;1;1;1;1;1;1;1;0;4430782;6001769
Gröm.-Cismar LA44;Siedlung;Karnatz 1987;1;0;1;0;0;1;1;1;1;0;4428690;6003647
Gröm.-Cismar LA84;Siedlung;Karnatz 1987;1;0;1;0;0;1;1;1;1;0;4433847;6005779
Grube LA21;Siedlung;Karnatz 1987;0;0;1;0;1;0;0;0;0;0;4437849;6012718
Grube LA22;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4438281;6012583
Grube LA36;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4436666;6011617
Grube LA42;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4437181;6010364
Grube LA46;Siedlung;Karnatz 1987;0;0;1;0;0;0;1;0;0;0;4437878;6011953
Kabelhorst LA3;Siedlung;Karnatz 1987;1;0;1;0;0;1;0;1;1;0;4430296;6011888
Kasseedorf LA3;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4414917;6001444
Riepsdorf LA2;Siedlung;Karnatz 1987;0;0;1;0;0;1;1;0;0;0;4433159;6012296
Riepsdorf LA3;Siedlung;Karnatz 1987;0;0;1;1;1;1;1;1;0;0;4433348;6012284
Schashagen LA6;Siedlung;Karnatz 1987;0;0;1;0;0;1;0;0;0;0;4427983;5998394
Schashagen LA34;Siedlung;Karnatz 1987;1;0;0;0;0;0;0;0;0;0;4429051;5999162
Schashagen LA39;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;1;4429692;6000265
Schashagen LA40;Siedlung;Karnatz 1987;1;0;1;0;0;1;0;0;0;0;4429895;6000278
Schashagen LA41;Siedlung;Karnatz 1987;0;0;1;0;0;1;0;0;0;0;4430298;6000163
Schashagen LA69;Siedlung;Karnatz 1987;0;1;1;1;0;0;0;0;0;0;4425713;6001132
Schashagen LA90;Siedlung;Karnatz 1987;0;1;1;1;0;1;0;0;0;0;4424754;6005728
Schashagen LA162;Siedlung;Karnatz 1987;0;1;1;1;1;1;1;1;1;0;4424879;5999673
Schashagen LA167;Siedlung;Karnatz 1987;1;0;1;0;0;1;0;0;0;0;4424992;6003133
